MAGeCl_3,Pure,5.618556808,1.9549,-6.623020563,-0.389020563,4.2358,5.063363472,0,0,0,1,0,0,0,0,1,0,0,3,0,0,2.17,267,180.65,0.7,32.066,8.6837,926.3,6.13,23.85,2.55,73,7,0.87,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
MAGeBr_3,Pure,5.927413063,1.6123,-5.569823573,-0.246823573,4.939266667,5.200338141,0,0,0,1,0,0,0,0,1,0,0,0,3,0,2.17,267,180.65,0.7,32.066,8.6837,926.3,6.13,23.85,2.55,73,7,0.87,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
MAGeI_3,Pure,6.250710346,1.311,-4.159365576,-0.028365576,6.316066667,5.357534759,0,0,0,1,0,0,0,0,1,0,0,0,0,3,2.17,267,180.65,0.7,32.066,8.6837,926.3,6.13,23.85,2.55,73,7,0.87,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
MASnCl_3,Pure,5.757077419,1.5821,-7.203844709,-0.250844709,4.457266667,5.161761073,0,0,0,1,0,0,0,0,0,1,0,3,0,0,2.17,267,180.65,0.7,32.066,8.6837,926.3,6.13,23.85,2.55,73,7,1.15,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
MASnBr_3,Pure,6.069422604,1.2624,-6.166765288,-0.224765288,5.331833333,5.281272592,0,0,0,1,0,0,0,0,0,1,0,0,3,0,2.17,267,180.65,0.7,32.066,8.6837,926.3,6.13,23.85,2.55,73,7,1.15,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
MASnI_3,Pure,6.363332115,0.8792,-4.724881803,-0.154881803,7.887333333,5.466814342,0,0,0,1,0,0,0,0,0,1,0,0,0,3,2.17,267,180.65,0.7,32.066,8.6837,926.3,6.13,23.85,2.55,73,7,1.15,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
MAPbI_3,Pure,6.422221962,1.79,-5.065875,0.035125,6.0004,5.397718516,0,0,0,1,0,0,0,0,0,0,1,0,0,3,2.17,267,180.65,0.7,32.066,8.6837,926.3,6.13,23.85,2.55,73,7,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
MAPbBr_3,Pure,6.065496534,1.973,-6.545051558,-0.152051558,4.4439,5.212159697,0,0,0,1,0,0,0,0,0,0,1,0,3,0,2.17,267,180.65,0.7,32.066,8.6837,926.3,6.13,23.85,2.55,73,7,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
MAPbCl_3,Pure,5.758135311,2.5508,-7.595855074,-0.171855074,3.905,4.934575914,0,0,0,1,0,0,0,0,0,0,1,3,0,0,2.17,267,180.65,0.7,32.066,8.6837,926.3,6.13,23.85,2.55,73,7,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
CsGeCl_3,Pure,5.332509995,1.051,-6.696538363,1.239461637,6.8828,5.366823751,0,0,1,0,0,0,0,0,1,0,0,3,0,0,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,0.87,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
CsGeBr_3,Pure,5.612792017,0.7676,-5.65217167,-0.27717167,9.6899,5.524361147,0,0,1,0,0,0,0,0,1,0,0,0,3,0,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,0.87,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
CsGeI_3,Pure,5.9963398,0.6354,-4.200849301,0.002150699,14.2211,5.640618231,0,0,1,0,0,0,0,0,1,0,0,0,0,3,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,0.87,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5
CsSnCl_3,Pure,5.633927662,1.0285,-7.300873141,1.354126859,5.9089,5.299098563,0,0,1,0,0,0,0,0,0,1,0,3,0,0,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,1.15,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3
CsSnBr_3,Pure,5.886000792,0.6341,-6.261607678,-0.267607677,9.3773,5.427706701,0,0,1,0,0,0,0,0,0,1,0,0,3,0,1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,1.15,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4
