Rb_0.625Cs_0.375CaCl_3,A-site mixed,5.440583819,6.4012,-11.92811599,0.459384009,0,0.625,0.375,0,0,1,0,0,0,0,0,3,0,0,1.659,954.625,308.471,1.659,103.257,46.365,392.762,2.247,68.653,0.809,43.75,5.375,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,1.81,239.18,172.17,3.214,35.453,348.8,1251.1,3.21,10.2,3.16,17,3
Rb_0.5MA_0.5CaCl_3,A-site mixed,5.465004348,6.5552,-11.91954876,-0.134548756,0,0.5,0,0.5,0,1,0,0,0,0,0,3,0,0,1.89,614,246.64,1.116,58.767,27.787,664.65,4.235,46.525,1.685,55,6,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,1.81,239.18,172.17,3.214,35.453,348.8,1251.1,3.21,10.2,3.16,17,3
K_0.125Rb_0.5Cs_0.375CaCl_3,A-site mixed,5.429757403,6.3791,-11.90549812,0.795751879,0.125,0.5,0.375,0,0,1,0,0,0,0,0,3,0,0,1.646,963.625,311.493,1.575,97.461,46.549,394.737,2.246,69.615,0.809,41.5,5.25,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,1.81,239.18,172.17,3.214,35.453,348.8,1251.1,3.21,10.2,3.16,17,3
K_0.25Rb_0.25MA_0.5CaCl_3,A-site mixed,5.440221005,6.6019,-11.89720685,0.515293149,0.25,0.25,0,0.5,0,1,0,0,0,0,0,3,0,0,1.865,632,252.683,0.948,47.175,28.154,668.6,4.232,48.45,1.685,50.5,5.75,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,1.81,239.18,172.17,3.214,35.453,348.8,1251.1,3.21,10.2,3.16,17,3
K_0.375Rb_0.125Cs_0.5CaCl_3,A-site mixed,5.427382521,6.3673,-11.8881218,1.663128201,0.375,0.125,0.5,0,0,1,0,0,0,0,0,3,0,0,1.638,979.5,316.149,1.449,91.798,46.741,395.275,2.212,71.358,0.805,39.25,5.125,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,1.81,239.18,172.17,3.214,35.453,348.8,1251.1,3.21,10.2,3.16,17,3
FACaCl_3,Pure,5.623396338,6.3598,-11.87747264,-0.907472641,0,0,0,0,1,1,0,0,0,0,0,3,0,0,2.53,319,354,1.1,45.057,8.6,849.1,6.5,29,2.57,91,8,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,1.81,239.18,172.17,3.214,35.453,348.8,1251.1,3.21,10.2,3.16,17,3
RbCaCl_3,Pure,5.428961118,6.2632,-11.83850205,-0.118502053,0,1,0,0,0,1,0,0,0,0,0,3,0,0,1.61,961,312.63,1.532,85.468,46.89,403,2.34,69.2,0.82,37,5,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,1.81,239.18,172.17,3.214,35.453,348.8,1251.1,3.21,10.2,3.16,17,3
RbSrCl_3,Pure,5.709317207,5.8987,-11.83100967,0.198990335,0,1,0,0,0,0,1,0,0,0,0,3,0,0,1.61,961,312.63,1.532,85.468,46.89,403,2.34,69.2,0.82,37,5,1.26,1655,1042,2.54,87.62,-168,549.5,8.2,136.9,0.95,38,5,1.81,239.18,172.17,3.214,35.453,348.8,1251.1,3.21,10.2,3.16,17,3
RbCa_0.875Sr_0.125Cl_3,B-site mixed,5.463621437,6.1855,-11.82809398,-0.069343981,0,1,0,0,0,0.875,0.125,0,0,0,0,3,0,0,1.61,961,312.63,1.532,85.468,46.89,403,2.34,69.2,0.82,37,5,1.032,1744.25,1103.25,1.674,46.021,-157.5,584.762,8.489,152.449,0.994,22.25,4.125,1.81,239.18,172.17,3.214,35.453,348.8,1251.1,3.21,10.2,3.16,17,3
FACa_0.5Sr_0.5Cl_3,B-site mixed,5.840761976,6.1249,-11.8276666,-0.7026666,0,0,0,0,1,0.5,0.5,0,0,0,0,3,0,0,2.53,319,354,1.1,45.057,8.6,849.1,6.5,29,2.57,91,8,1.13,1706,1077,2.045,63.849,-162,569.65,8.365,145.785,0.975,29,4.5,1.81,239.18,172.17,3.214,35.453,348.8,1251.1,3.21,10.2,3.16,17,3
